Change,Year
2.581518206,1990
2.622145146,1991
2.687046317,1992
2.746152562,1993
2.672146507,1994
2.875024751,1995
3.118979737,1996
3.203938424,1997
3.15817802,1998
3.092921327,1999
3.421874278,2000
3.080901847,2001
3.194548471,2002
3.316114188,2003
3.351692121,2004
3.460795614,2005
3.797151008,2006
4.152950584,2007
4.078325237,2008
4.035674599,2009
4.107871448,2010
4.32606106,2011
4.40556459,2012
4.190557931,2013
4.410763561,2014
4.477175913,2015
4.692471511,2016
5.127196626,2017
5.000359011,2018
4.75658475,2019
