|||Columns|
Rows|||Turkey|
||||
||||
Cereals And Other Crop Products|Production Quantity and 01.11.11.00.00. (Durum Buğdayı) - Tonne|2004|5000000.0|
||2005|4500000.0|
||2006|3500000.0|
||2007|2709000.0|
||2008|2782000.0|
||2009|3740000.0|
||2010|3450000.0|
||2011|3850000.0|
||2012|3300000.0|
||2013|4075000.0|
||2014|3300000.0|
||2015|4100000.0|
||2016|3620000.0|
||2017|3900000.0|
||2018|3500000.0|
||2019|3150000.0|
||2020|4000000.0|
||2021|3150000.0|
|Production Quantity and 01.11.12.00.00. (Buğday, Durum Buğdayı Hariç) - Tonne|2004|1.6E7|
||2005|1.7E7|
||2006|1.651E7|
||2007|1.4525E7|
||2008|1.5E7|
||2009|1.686E7|
||2010|1.6224E7|
||2011|1.795E7|
||2012|1.68E7|
||2013|1.7975E7|
||2014|1.57E7|
||2015|1.85E7|
||2016|1.698E7|
||2017|1.76E7|
||2018|1.65E7|
||2019|1.585E7|
||2020|1.65E7|
||2021|1.45E7|
|Production Quantity and 01.11.20.00.00. (Mısır) - Tonne|2004|3000000.0|
||2005|4200000.0|
||2006|3811000.0|
||2007|3535000.0|
||2008|4274000.0|
||2009|4250000.0|
||2010|4310000.0|
||2011|4200000.0|
||2012|4600000.0|
||2013|5900000.0|
||2014|5950000.0|
||2015|6400000.0|
||2016|6400000.0|
||2017|5900000.0|
||2018|5700000.0|
||2019|6000000.0|
||2020|6500000.0|
||2021|6750000.0|
|Production Quantity and 01.11.31.00.01. (Arpa (Biralık)) - Tonne|2004|900000.0|
||2005|900000.0|
||2006|951000.0|
||2007|640760.0|
||2008|523000.0|
||2009|650000.0|
||2010|600000.0|
||2011|630000.0|
||2012|590000.0|
||2013|560000.0|
||2014|481000.0|
||2015|620000.0|
||2016|390000.0|
||2017|400000.0|
||2018|400000.0|
||2019|400000.0|
||2020|600000.0|
||2021|250000.0|
|Production Quantity and 01.11.31.00.02. (Arpa (Diğer)) - Tonne|2004|8100000.0|
||2005|8600000.0|
||2006|8600000.0|
||2007|6666040.0|
||2008|5400000.0|
||2009|6650000.0|
||2010|6650000.0|
||2011|6970000.0|
||2012|6510000.0|
||2013|7340000.0|
||2014|5819000.0|
||2015|7380000.0|
||2016|6310000.0|
||2017|6700000.0|
||2018|6600000.0|
||2019|7200000.0|
||2020|7700000.0|
||2021|5500000.0|
|Production Quantity and 01.11.32.00.00. (Çavdar) - Tonne|2004|270000.0|
||2005|270000.0|
||2006|271000.0|
||2007|240540.0|
||2008|246521.0|
||2009|343330.0|
||2010|365560.0|
||2011|365750.0|
||2012|370000.0|
||2013|365000.0|
||2014|300000.0|
||2015|330000.0|
||2016|300000.0|
||2017|320000.0|
||2018|320000.0|
||2019|310000.0|
||2020|295681.0|
||2021|200000.0|
|Production Quantity and 01.11.33.00.00. (Yulaf) - Tonne|2004|275000.0|
||2005|270000.0|
||2006|208787.0|
||2007|189099.0|
||2008|196099.0|
||2009|218286.0|
||2010|203870.0|
||2011|218040.0|
||2012|210000.0|
||2013|235000.0|
||2014|210000.0|
||2015|250000.0|
||2016|225000.0|
||2017|250000.0|
||2018|260000.0|
||2019|265000.0|
||2020|314528.0|
||2021|276000.0|
|Production Quantity and 01.11.41.00.00. (Sorgum) - Tonne|2004|350.0|
||2005|200.0|
||2006|229.0|
||2007|116.0|
||2008|114.0|
||2009|390.0|
||2010|220.0|
||2011|180.0|
||2012|114.0|
||2013|361.0|
||2014|81.0|
||2015|4.0|
||2016|3.0|
||2017|3.0|
||2018|3.0|
||2019|4.0|
||2020|5.0|
||2021|25.0|
|Production Quantity and 01.11.42.00.00. (Darı) - Tonne|2004|7000.0|
||2005|7200.0|
||2006|6955.0|
||2007|7094.0|
||2008|6995.0|
||2009|7171.0|
||2010|6772.0|
||2011|6253.0|
||2012|4759.0|
||2013|5906.0|
||2014|6744.0|
||2015|6219.0|
||2016|5327.0|
||2017|4737.0|
||2018|4397.0|
||2019|4765.0|
||2020|5711.0|
||2021|4320.0|
|Production Quantity and 01.11.49.00.01. (Kaplıca) - Tonne|2004|8500.0|
||2005|7400.0|
||2006|6341.0|
||2007|6977.0|
||2008|7361.0|
||2009|7524.0|
||2010|7675.0|
||2011|7018.0|
||2012|6565.0|
||2013|13658.0|
||2014|6152.0|
||2015|4700.0|
||2016|4549.0|
||2017|6610.0|
||2018|13071.0|
||2019|3006.0|
||2020|2820.0|
||2021|4069.0|
|Production Quantity and 01.11.49.00.02. (Kuş Yemi) - Tonne|2004|560.0|
||2005|100.0|
||2006|61.0|
||2007|62.0|
||2008|17.0|
||2009|61.0|
||2010|83.0|
||2011|30.0|
||2012|2.0|
||2013|350.0|
||2014|353.0|
||2015|390.0|
||2016|670.0|
||2017|922.0|
||2018|1228.0|
||2019|3839.0|
||2020|12551.0|
||2021|6059.0|
|Production Quantity and 01.11.49.00.03. (Mahlut) - Tonne|2004|7500.0|
||2005|6700.0|
||2006|3971.0|
||2007|2826.0|
||2008|4126.0|
||2009|1673.0|
||2010|1100.0|
||2011|1005.0|
||2012|990.0|
||2013|993.0|
||2014|827.0|
||2015|825.0|
||2016|615.0|
||2017|495.0|
|Production Quantity and 01.11.49.00.04. (Triticale) - Tonne|2004|95000.0|
||2005|110000.0|
||2006|77642.0|
||2007|86476.0|
||2008|93723.0|
||2009|98716.0|
||2010|93270.0|
||2011|103797.0|
||2012|105000.0|
||2013|118000.0|
||2014|110000.0|
||2015|125000.0|
||2016|125000.0|
||2017|150000.0|
||2018|170000.0|
||2019|215090.0|
||2020|276212.0|
||2021|228000.0|
|Production Quantity and 01.11.49.00.05. (Kara Buğday) - Tonne|2021|1413.0|
|Production Quantity and 01.11.71.00. (Fasulye, Kuru) - Tonne|2004|250000.0|
||2005|210000.0|
||2006|195970.0|
||2007|154243.0|
||2008|154630.0|
||2009|181205.0|
||2010|212758.0|
||2011|200673.0|
||2012|200000.0|
||2013|195000.0|
||2014|215000.0|
||2015|235000.0|
||2016|235000.0|
||2017|239000.0|
||2018|220000.0|
||2019|225000.0|
||2020|279518.0|
||2021|305000.0|
|Production Quantity and 01.11.72.00.00. (Bakla, Kuru (İnsan Tüketimi İçin)) - Tonne|2004|20000.0|
||2005|22000.0|
||2006|10897.0|
||2007|11006.0|
||2008|10724.0|
||2009|11807.0|
||2010|8870.0|
||2011|7963.0|
||2012|7868.0|
||2013|7818.0|
||2014|6971.0|
||2015|6260.0|
||2016|6280.0|
||2017|6847.0|
||2018|5903.0|
||2019|5484.0|
||2020|5002.0|
||2021|4426.0|
|Production Quantity and 01.11.73.00.00. (Nohut, Kuru) - Tonne|2004|620000.0|
||2005|600000.0|
||2006|551746.0|
||2007|505366.0|
||2008|518026.0|
||2009|562564.0|
||2010|530634.0|
||2011|487477.0|
||2012|518000.0|
||2013|506000.0|
||2014|450000.0|
||2015|460000.0|
||2016|455000.0|
||2017|470000.0|
||2018|630000.0|
||2019|630000.0|
||2020|630000.0|
||2021|475000.0|
|Production Quantity and 01.11.74.00.01. (Mercimek, Kuru (Kırmızı)) - Tonne|2004|480000.0|
||2005|520000.0|
||2006|580298.0|
||2007|508378.0|
||2008|106361.0|
||2009|275050.0|
||2010|422000.0|
||2011|380000.0|
||2012|410000.0|
||2013|395000.0|
||2014|325000.0|
||2015|340000.0|
||2016|345000.0|
||2017|400000.0|
||2018|310000.0|
||2019|310000.0|
||2020|328418.0|
||2021|228000.0|
|Production Quantity and 01.11.74.00.02. (Mercimek, Kuru (Yeşil)) - Tonne|2004|60000.0|
||2005|50000.0|
||2006|42326.0|
||2007|26803.0|
||2008|24827.0|
||2009|27131.0|
||2010|25400.0|
||2011|25952.0|
||2012|28000.0|
||2013|22000.0|
||2014|20000.0|
||2015|20000.0|
||2016|20000.0|
||2017|30000.0|
||2018|43000.0|
||2019|43631.0|
||2020|42397.0|
||2021|35000.0|
|Production Quantity and 01.11.75.00.00. (Bezelye, Kuru) - Tonne|2004|3500.0|
||2005|3600.0|
||2006|4373.0|
||2007|3503.0|
||2008|3920.0|
||2009|3604.0|
||2010|3200.0|
||2011|3628.0|
||2012|2686.0|
||2013|3235.0|
||2014|2987.0|
||2015|3125.0|
||2016|2919.0|
||2017|2673.0|
||2018|2603.0|
||2019|2193.0|
||2020|1538.0|
||2021|1805.0|
|Production Quantity and 01.11.79.00.01. (Börülce, Kuru) - Tonne|2004|2300.0|
||2005|2500.0|
||2006|2937.0|
||2007|1845.0|
||2008|3072.0|
||2009|3017.0|
||2010|2290.0|
||2011|2149.0|
||2012|2111.0|
||2013|2112.0|
||2014|2006.0|
||2015|1609.0|
||2016|1860.0|
||2017|1511.0|
||2018|1443.0|
||2019|1392.0|
||2020|1324.0|
||2021|1281.0|
|Production Quantity and 01.11.79.00.02. (Burçak (Dane)) - Tonne|2004|2500.0|
||2005|2300.0|
||2006|14863.0|
||2007|23850.0|
||2008|6093.0|
||2009|20509.0|
||2010|12100.0|
||2011|5549.0|
||2012|5037.0|
||2013|4885.0|
||2014|4403.0|
||2015|3765.0|
||2016|3996.0|
||2017|3349.0|
||2018|3371.0|
||2019|3277.0|
||2020|2162.0|
||2021|1336.0|
|Production Quantity and 01.11.79.00.03. (Buy (Çemen Otu)) - Tonne|2004|1000.0|
||2005|760.0|
||2006|632.0|
||2007|36.0|
||2008|195.0|
||2009|180.0|
||2010|200.0|
||2011|141.0|
||2012|67.0|
||2013|195.0|
||2014|218.0|
||2015|491.0|
||2016|914.0|
||2017|1521.0|
||2018|745.0|
||2019|645.0|
||2020|713.0|
||2021|816.0|
|Production Quantity and 01.11.79.00.04. (Mürdümük) - Tonne|2004|4500.0|
||2005|16200.0|
||2006|16117.0|
||2007|19742.0|
||2008|17562.0|
||2009|6938.0|
||2010|6826.0|
||2011|6739.0|
||2012|6399.0|
||2013|1482.0|
||2014|1291.0|
||2015|1202.0|
||2016|1075.0|
||2017|1005.0|
||2018|860.0|
||2019|1797.0|
||2020|1662.0|
||2021|1356.0|
|Production Quantity and 01.11.79.00.05. (Acı Bakla (İnsan Tüketimi İçin)) - Tonne|2004|500.0|
||2005|490.0|
||2006|482.0|
||2007|401.0|
||2008|289.0|
||2009|369.0|
||2010|381.0|
||2011|417.0|
||2012|423.0|
||2013|411.0|
||2014|411.0|
||2015|409.0|
||2016|411.0|
||2017|402.0|
||2018|356.0|
||2019|191.0|
||2020|207.0|
||2021|128.0|
|Production Quantity and 01.11.81.00.00. (Soya Fasulyesi) - Tonne|2004|50000.0|
||2005|29000.0|
||2006|47300.0|
||2007|30666.0|
||2008|34461.0|
||2009|38442.0|
||2010|86540.0|
||2011|102260.0|
||2012|122114.0|
||2013|180000.0|
||2014|150000.0|
||2015|161000.0|
||2016|165000.0|
||2017|140000.0|
||2018|140000.0|
||2019|150000.0|
||2020|155225.0|
||2021|182000.0|
|Production Quantity and 01.11.82.00.00. (Yerfıstığı, Kabuklu) - Tonne|2004|80000.0|
||2005|85000.0|
||2006|77454.0|
||2007|86409.0|
||2008|85274.0|
||2009|90081.0|
||2010|97310.0|
||2011|90416.0|
||2012|122780.0|
||2013|128265.0|
||2014|123600.0|
||2015|147537.0|
||2016|164186.0|
||2017|165330.0|
||2018|173835.0|
||2019|169328.0|
||2020|215927.0|
||2021|234167.0|
|Production Quantity and 01.11.84.00.00. (Pamuk Çekirdeği (Çiğit)) - Tonne|2004|1425850.0|
||2005|1291180.0|
||2006|1476556.0|
||2007|1320831.0|
||2008|1077440.0|
||2009|1021200.0|
||2010|1272800.0|
||2011|1527360.0|
||2012|1373440.0|
||2013|1287000.0|
||2014|1391200.0|
||2015|1213600.0|
||2016|1260000.0|
||2017|1470000.0|
||2018|1542000.0|
||2019|1320000.0|
||2020|1064189.0|
||2021|1350000.0|
|Production Quantity and 01.11.91.00.00. (Keten Tohumu) - Tonne|2004|80.0|
||2005|86.0|
||2006|84.0|
||2007|48.0|
||2008|40.0|
||2009|1.0|
||2012|13.0|
||2021|1.0|
|Production Quantity and 01.11.93.00.00. (Kanola Veya Kolza Tohumu) - Tonne|2004|4500.0|
||2005|1200.0|
||2006|12615.0|
||2007|28727.0|
||2008|83965.0|
||2009|113886.0|
||2010|106450.0|
||2011|91239.0|
||2012|110000.0|
||2013|102000.0|
||2014|110000.0|
||2015|120000.0|
||2016|125000.0|
||2017|60000.0|
||2018|125000.0|
||2019|180000.0|
||2020|121542.0|
||2021|140000.0|
|Production Quantity and 01.11.94.00.00. (Susam Tohumu) - Tonne|2004|23000.0|
||2005|26000.0|
||2006|26545.0|
||2007|20010.0|
||2008|20338.0|
||2009|21036.0|
||2010|23460.0|
||2011|18000.0|
||2012|16221.0|
||2013|15457.0|
||2014|17716.0|
||2015|18530.0|
||2016|19521.0|
||2017|18410.0|
||2018|17437.0|
||2019|16893.0|
||2020|18648.0|
||2021|17657.0|
|Production Quantity and 01.11.95.00.01. (Ayçiçeği Tohumu (Yağlık)) - Tonne|2004|800000.0|
||2005|865000.0|
||2006|1010000.0|
||2007|770000.0|
||2008|900387.0|
||2009|960300.0|
||2010|1170000.0|
||2011|1170000.0|
||2012|1200000.0|
||2013|1380000.0|
||2014|1480000.0|
||2015|1500000.0|
||2016|1500000.0|
||2017|1800000.0|
||2018|1800000.0|
||2019|1950000.0|
||2020|1900000.0|
||2021|2215000.0|
|Production Quantity and 01.11.95.00.02. (Ayçiçeği Tohumu (Çerezlik)) - Tonne|2004|100000.0|
||2005|110000.0|
||2006|108000.0|
||2007|84407.0|
||2008|91613.0|
||2009|96825.0|
||2010|150000.0|
||2011|165000.0|
||2012|170000.0|
||2013|143000.0|
||2014|157900.0|
||2015|180700.0|
||2016|170716.0|
||2017|164385.0|
||2018|149229.0|
||2019|150000.0|
||2020|167004.0|
||2021|200000.0|
|Production Quantity and 01.11.99.00.01. (Kenevir Tohumu) - Tonne|2004|30.0|
||2005|13.0|
||2006|13.0|
||2007|24.0|
||2008|12.0|
||2009|3.0|
||2010|7.0|
||2011|8.0|
||2012|4.0|
||2013|1.0|
||2014|1.0|
||2015|1.0|
||2016|1.0|
||2017|1.0|
||2018|3.0|
||2019|20.0|
