Product Category,Product Name,2020Production,2021Production
Cereals,Wheat,20500000,17650000
Cereals,Maize,6500000,6500000
Cereals,Rice in the husk,980000,1000000
Cereals,Barley,8300000,5750000
Cereals,Rye,295681,200000
Cereals,Oats,314528,286000
Cereals,Spelt,2820,4070
Cereals,Millet,5711,4320
Cereals,Canary grass,12551,5180
Cereals,Triticale,276212,226000
Cereals,Sorghum,5,24
Potatoes & Dry Pulses,Potatoes,5200000,5100000
Potatoes & Dry Pulses,Broad beans (to consume),5002,4390
Potatoes & Dry Pulses,Pea,1538,2060
Potatoes & Dry Pulses,Chick pea,630000,475000
Potatoes & Dry Pulses,Dry beans,279518,302000
Potatoes & Dry Pulses,Lentil (red),328418,230000
Potatoes & Dry Pulses,Lentil (green),42397,35000
Potatoes & Dry Pulses,Kidney beans,1324,1300
Potatoes & Dry Pulses,Wild vetches,2162,1290
Potatoes & Dry Pulses,Fenugreek,713,760
Potatoes & Dry Pulses,Grass pea,1662,1320
High Starch,Sweet potatoes,248,670
High Starch,Jerusalem artichokes,1144,1320
High Starch,Salep plant,0,80
Oil Seeds,Soybeans ,155225,180000
Oil Seeds,Groundnuts ,215927,229000
Oil Seeds,Sunflower,2067004,2390000
Oil Seeds,Sesame ,18648,17700
Oil Seeds,Safflower ,21325,20000
Oil Seeds,Rapeseed,121542,140000
Oil Seeds,Flax (seed) ,0,0.5
Oil Seeds,Hemp (seed),273,24
Oil Seeds,Poppy (seed),20542,21000
Tobacco,Tobacco,79081,73000
Sugar,Sugar beets,23025738,19500000
Sugar,Sugar cane,230,250
Textile Raws,Cotton (raw),1773646,2250000
Textile Raws,Flax (fibre) ,4,6
Textile Raws,Hemp (fibre) ,9,10
Perfumery & Pharmacy,Poppy (capsule),20542,21000
Perfumery & Pharmacy,Lupin,207,130
Perfumery & Pharmacy,Hop,1908,1860
Perfumery & Pharmacy,Cow vetches,46856,39000
Perfumery & Pharmacy,Alfaalfa (seed),1695,1920
Perfumery & Pharmacy,Clover (seed),0,0
Perfumery & Pharmacy,Sainfoin (seed),248,110
Perfumery & Pharmacy,Grass seed,0,1420
Perfumery & Pharmacy,Melissa,150,270
Perfumery & Pharmacy,Nettle,0.1,0.5
Perfumery & Pharmacy,Salvia,1271,1840
Perfumery & Pharmacy,Rose (for oil),18202,17840
Perfumery & Pharmacy,Lavander,3499,5460
Perfumery & Pharmacy,Sugar beet seed,2317,1580
Root Vegetables,Onion (green),129023,122880
Root Vegetables,Onion (dry),2280000,2400000
Root Vegetables,Garlic (green),28552,32600
Root Vegetables,Garlic (dry),116840,140600
Root Vegetables,Leek,225480,211600
Root Vegetables,Carrots,588778,528900
Root Vegetables,Turnip,2599,2350
Root Vegetables,Beets (red),7881,10150
Root Vegetables,Celeriac,23159,24210
Root Vegetables,Horse radish,14274,14270
Root Vegetables,Red radish,204687,209110
Root Vegetables,White radish,4433,4470
Vegetables cultivated for their fruits,Tomatoes,13204015,12825000
Vegetables cultivated for their fruits,Cucumber,1886239,1848000
Vegetables cultivated for their fruits,Hairy cucumber,40644,36900
Vegetables cultivated for their fruits,"Pepper (for processed, capia )",1291091,1467000
